deltaAUC	iteration
-11.5000955739344	1
5.00018966180545	2
-27.0000144709118	3
-12.0018056196533	4
62.5060146322605	5
-32.5002090101326	6
31.0000543421379	7
-99.991936935775	8
-101.49989592698	9
-38.4918764911856	10
20.4997956003494	11
-73.0000782190049	12
-18.999557941026	13
11.9989765484935	14
-50.0004460173757	15
-31.4995092192988	16
18.0000132928745	17
-20.0007504868426	18
6.99973220114305	19
-25.499983523715	20
4.00027905253182	21
-58.51939028146	22
18.9999412988095	23
23.000375391264	24
-44.9999494602446	25
-35.9999961858418	26
-18.5002235861244	27
-31.5002509267156	28
30.5012842695319	29
-31.999227885074	30
-31.9876935214409	31
-22.0031331767439	32
-107.500010891949	33
90.4999356604693	34
-29.9995161465621	35
-6.97961801265791	36
-62.0000882408026	37
43.0008984530862	38
-12.4971833608526	39
-123.999967120672	40
-87.9998957619564	41
-56.4999020712536	42
-34.9971900716198	43
1.49980074324	44
-17.9999963833381	45
56.9998443887759	46
83.4999237818815	47
30.9999622310505	48
33.4998308901394	49
9.00037609669624	50
87.500033154516	51
37.5000290114686	52
27.000128928151	53
74.0001241694956	54
-49.000291121949	55
-8.49982326315717	56
12.5000002096713	57
37.5016312062612	58
-18.4998379870482	59
-82.9999542408328	60
-42.5171777555544	61
-11.5001517798239	62
-77.5002099504335	63
-55.500236292557	64
4.50009575948422	65
-15.500202081011	66
144.500029883187	67
31.0001159248397	68
-9.00004753035728	69
10.9997135853796	70
15.4999730602844	71
-38.0004141343397	72
-55.9996002779045	73
-42.0002123989044	74
-12.4791795847798	75
75.0002332970013	76
8.5179831425323	77
105.500341633836	78
-58.5014984562022	79
20.500146367651	80
16.5001255350632	81
9.49989298524153	82
-32.4995591147747	83
-96.5000444085004	84
-8.99986172447998	85
21.0000362534533	86
-6.99994929928178	87
-8.49999999999937	88
55.500139602047	89
-93.5000514427304	90
-33.5022455671235	91
-85.4999562129405	92
5.10043908868511	93
-15.4999920563865	94
44.5000461799973	95
146.500022456389	96
-86.3343445826095	97
76.5000457142376	98
32.0002526328587	99
18.4999749730262	100
82.499882249586	101
8.49988956464216	102
-18.0007641835396	103
-6.00005222753055	104
130.000049317915	105
39.5002242234364	106
64.5000737259181	107
106.500009609999	108
-100.500177843407	109
19.9987444393863	110
-34.0000832005432	111
25.4996078521799	112
-54	113
-85.0014820213942	114
-26.5002693229062	115
131.99999920848	116
-26.0000532357952	117
-31.5000139131552	118
-21.9999442851511	119
-46.4998712809047	120
21.0001216778054	121
21.9998110761195	122
58.0034107564212	123
66.4998691223829	124
78.0000427371066	125
22.000362946063	126
-18.0001139703039	127
-130.501383578793	128
-73.999527742915	129
4.00015350995093	130
-24.4999638914334	131
